nom	name	link	bio
Kegler	Ron Sweet	https://kegler.gitlab.io	Ron Sweet published cryptic crosswords on his website from 2001–09, and one of his non-cryptic crosswords appeared in the New York Times in 2004. An LA resident and native, he was a winner on the game show Merv Griffin’s Crosswords in 2007.
Midas	Marc Maximov	https://www.marcmaximov.net	Marc Maximov is an audio producer, multimedia creator, and writer based in Durham, NC. From 2012–14, he edited a monthly crossword puzzle, Solve Locally, for the local weekly newspaper IndyWeek.
Oh, Kay	Kay Plunkett	https://ohkayblanket.com	Kay is a software engineer and puzzle lover based in Dallas, TX. They fell in love with cryptics at an National Puzzlers League convention. They love solving PuzzledPint sets and making up silly puzzles for friends.
